Dealer Name,City,FQ,Qty,Latitude,Longitude
MCCARTHY VOLKSWAGEN WONDERBOOM,WONDERBOOM,180,,-25.6539,28.22423
MCCARTHY VOLKSWAGEN CONSTANTIA,ROODEPOORT,180,,-26.1625,27.8725
MCCARTHY VW WESTGATE,ROODEPOORT,180,,-26.1625,27.8725
MCDULING MOTORS,BOOYSENS,180,,,
MIDBAY MOTORS VW,RICHARDSBAY,30,,,
MIDBAY MOTORS,RICHARDS BAY,30,,,
MIDBAY MOTORS AUDI,RICHARDS BAY,30,,,
MIDBAY MOTORS GROUP,RICHARDS BAY,30,,,
MOSSEL BAY GROUP,KNYSNA,30,,-34.0363,23.04713
MUJI SPRINGS VOLKSWAGEN,SPRINGS,30,,-26.25,28.4
MUJI LADYSMITH,LADYSMITH,30,,-28.5587,29.77896
MUJI MOTOR GROUP,SPRINGS,30,,,
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NEWCASTLE VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
NEWCASTLE VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
NEWCASTLE VOLKSWAGEN,BETHLEHEM,14,,,
NEWCASTLE VOLKSWAGEN,BETHLEHEM,14,,,
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NMI DSM GROUP,TOKAI,30,,,
NTT AUDI KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT GROUP,GROBLERSDAL,30,,,
NTT VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT VOLKSWAGEN KRUGERSDORP,KRUGERSDORP,30,,-26.0858,27.77515
NTT VOLKSWAGEN MTHATHA,MTHATHA,30,,-31.5889,28.78443
NTT VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT VW KING WILLIAMS TOWN,KING WILLIAMS TOWN,30,,-32.8803,27.39454
NTT VW POTCHEFSTROOM,SPRINGBOK,30,,-29.6643,17.8865
NTT VW PAARL,PAARL,30,,-33.7338,18.97523
PALM MOTORS,WHITE RIVER,60,,,
PALM MOTORS COMMERCIAL,WHITE RIVER,60,,,
PHILWEST MOTORS SOMERSET WEST,SOMERSET WEST,30,,,
PRINCES BENONI,BENONI NORTH,30,,,
PRINCE'S GROUP,BENONI,30,,-26.1885,28.32078
PRINCES SPRINGS,SPRINGS,30,,-26.2584,28.47173
ROLA MOTOR GROUP,STRAND,30,,,
RUSTENBURG VOLKSWAGEN,RUSTENBURG,90,,-25.6676,27.24208
AUDI CENTRE SOMERSET WEST,CAPE TOWN,30,,-34.0784,18.82365
SOUTH COAST AUDI AND...,"PORT SHEPSTONE, 4240",30,,-30.75,30.45
SOUTH COAST AUDI AND VW,MARGATE,30,,,
SOUTH COAST GROUP,MARGATE,30,,,
SOUTHEY MOTOR GROUP,KIMBERLEY,30,,-28.7323,24.76232
MOSSEL BAY VOLKSWAGEN,MOSSEL BAY,14,,-34.1831,22.14605
VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
SOWETO VOLKSWAGEN,SOWETO,7,,-26.2678,27.85849
NTT VW STELLENBOSCH,CAPE TOWN,30,,-33.9258,18.42322
STRIJDOM PARK VOLKSWAGEN,RANDBURG,180,,,
STRIJDOM PARK VOLKSWAGEN,RANDBURG,180,,,
SUPER GROUP,SANDTON,30,,,
SUPER GROUP VOLKSAWAGEN SA,SANDTON,30,,,
TAVCOR AUDI EMBASSY...,George,30,,-33.963,22.46173
TAVCOR AUDI EMBASSY,PORT ELIZABETH,30,,-33.918,25.57007
AUDI CENTRE PORT ELIZABETH,PORT ELIZABETH,30,,-33.9631,25.55469
 TAVCOR AUDI EMBASSY....,George,30,,-33.963,22.46173
TAVCOR COMMERCIAL,GEORGE,30,,-33.963,22.46173
TAVCOR COMMERCIAL,PORT ELIZABETH,30,,-33.918,25.57007
TAVCOR COMMERCIAL,PORT ELIZABETH,30,,-33.918,25.57007
TAVCOR COMMERCIAL,PORT ELIZABETH,30,,-33.918,25.57007
TAVCOR COMMERCIAL,GEORGE,30,,-33.963,22.46173
TAVCOR VOLKSWAGEN,PORT ELIZABETH,30,,-33.9642,25.55462
TAVCOR VOLKSWAGEN,GEORGE,30,,-33.9837,22.50332
TAVCOR VOLKSWAGEN,PORT ELIZABETH,30,,-33.9642,25.55462
TAVCOR GEORGE AUDI.,Port Elizabeth,30,,-33.918,25.57007
TAVCOR GEORGE AUDI,GEORGE,30,,-33.963,22.46173
TAVCOR GEORGE AUDI,GEORGE,30,,-33.963,22.46173
 TAVCOR GEORGE AUDI...,Port Elizabeth,30,,-33.918,25.57007
TAVCOR MOTORS,PORT ELIZABETH,30,,,
TAVCOR MOTOR GROUP,PORT ELIZABETH,30,,-33.918,25.57007
Name TAVCOR MOTOR GROUP...,George,30,,-33.963,22.46173
TAVCOR VOLKSWAGEN KNYSNA,KNYSNA,30,,-33.9837,22.50332
TAVCOR VOLKSWAGEN KNYSNA,KYSNA,30,,,
TAVCOR YORK,GEORGE,30,,-33.963,22.46173
TAVCOR YORK,PORT ELIZABETH,30,,-33.918,25.57007
TAVCOR YORK,PORT ELIZABETH,30,,-33.918,25.57007
TAVCOR YORK GROUP,GEORGE,30,,-33.963,22.46173
THE GLEN VW / AUDI,GLEN VISTA,180,,,
THOMPSONS MOTORS,LOUIS TRICHARDT,30,,,
TRISEC AUTOHAUS,TRICHARDT,60,,,
TRISEC AUTOHAUS VW,TRICHARDT,60,,,
UNITRANS AUTOMOTIVE  GROUP,BENONI,30,,-26.1885,28.32078
UNITRANS VOLKSWAGEN SA GROUP,BENONI,30,,-26.1885,28.32078
UPINGTON VOLKSWAGEN...,Upington,14,,-28.4478,21.25612
UPINGTON VOLKSWAGEN,UPINGTON,14,,-28.4478,21.25612
VOLKSWAGEN HIGHLANDS,LYDENBURG,30,,-25.096,30.44393
VOLKSWAGEN POLOKWANE,POLOKWANE,30,,-23.9045,29.46885
VOLKSWAGEN MELROSE,JOHANNESBURG,30,,-26.2023,28.04363
VOLKS MOTORS ZEERUST,ZEERUST,30,,,
VOLKSWAGEN POLOKWANE,POLOKWANE,30,,-23.9045,29.46885
VOLKSWAGEN COMMERCIAL POL,POLOKWANE,30,,-23.9045,29.46885
VOLKSWAGEN TABLEVIEW,CAPE TOWN,30,,-33.9258,18.42322
VREDENDAL VOLKSWAGEN,VREDENDAL,30,,-31.6683,18.50119
VRYHEID VOLKSWAGEN..,Newcastle,14,,,
VRYHEID VOLKSWAGEN,VRYHEID,14,,-27.7695,30.79165
VRYHEID VOLKSWAGEN,Ermelo,14,,-26.5333,29.98333
VRYHEID VOLKSWAGEN,,14,,,
 VRYHEID VOLKSWAGEN..,Bethlehem,14,,,
VW COMMERCIAL POLOKWANE,POLOKWANE,30,,-23.9045,29.46885
ROLA VW MALMESBURY,MALMESBURG,30,,,
ROLA VW VREDENBURG,VREDENBURG,30,,-32.9072,17.98997
ROLA VW HERMANUS,HERMANUS,30,,-34.4187,19.23446
NTT VW WORCESTER,WORCESTER,30,,,
T/A NTT VW WORCESTER,WORCESTER,30,,,
WEISS DURBAN,DURBAN,180,,,
VOLKSWAGEN BALLITO,DURBAN,180,,-29.8579,31.0292
